hour,n_points,mean,sd,cv,median,min,max,TIR,TBR,TAR,GMI
0.0,987.0,145.71833839918946,48.21231881660969,0.3308596525753265,143.0,39.0,355.0,0.7912867274569402,0.04559270516717325,0.16312056737588654,6.795582654508612
1.0,993.0,150.73917421953675,44.63606696287402,0.29611457800522367,147.0,39.0,296.0,0.8026183282980867,0.019133937562940583,0.1782477341389728,6.915681047331319
2.0,998.0,157.06212424849699,43.89081177617598,0.2794487339718761,155.0,39.0,302.0,0.751503006012024,0.031062124248496994,0.21743486973947895,7.066926012024048
3.0,1009.0,149.98017839444995,33.77504367085472,0.2251967162088972,145.0,39.0,265.0,0.8126858275520317,0.007928642220019821,0.17938553022794845,6.8975258671952435
4.0,992.0,137.86895161290323,32.49418117139859,0.23568889725536607,129.0,65.0,266.0,0.8901209677419355,0.0030241935483870967,0.10685483870967742,6.607825322580645
5.0,997.0,126.67301905717152,27.883496223739144,0.2201218257153439,120.0,71.0,257.0,0.9438314944834504,0.0,0.05616850551654965,6.3400186158475424
6.0,992.0,122.62802419354838,25.96546920909879,0.21174172363828125,119.0,50.0,247.0,0.9455645161290323,0.015120967741935484,0.03931451612903226,6.243262338709677
7.0,992.0,127.94153225806451,25.270137065651603,0.19751316573792835,123.0,52.0,235.0,0.9536290322580645,0.007056451612903226,0.03931451612903226,6.370361451612903
8.0,1004.0,142.51892430278883,28.271836696396008,0.19837250971899723,141.0,50.0,240.0,0.900398406374502,0.00199203187250996,0.09760956175298804,6.719052669322709
9.0,1017.0,151.04621435594888,36.180878002023576,0.23953515257761646,148.0,52.0,347.0,0.831858407079646,0.0019665683382497543,0.16617502458210423,6.923025447394297
10.0,1008.0,159.2172619047619,46.04086328468293,0.2891700481083699,153.0,71.0,343.0,0.7748015873015873,0.0,0.2251984126984127,7.118476904761905
11.0,985.0,158.7989847715736,52.36137523838008,0.329733690134732,150.0,39.0,319.0,0.7015228426395939,0.017258883248730966,0.2812182741116751,7.108471715736041
12.0,979.0,146.32482124616956,55.270136998269535,0.37772222462029065,137.0,39.0,285.0,0.693564862104188,0.05515832482124617,0.2512768130745659,6.810089724208376
13.0,980.0,136.41020408163266,51.28773901825744,0.3759816896657163,129.5,39.0,305.0,0.7193877551020408,0.07142857142857142,0.20918367346938777,6.572932081632653
14.0,975.0,128.56923076923076,49.105625970701276,0.3819391753135794,116.0,39.0,308.0,0.7517948717948718,0.07384615384615385,0.17435897435897435,6.385376
15.0,988.0,134.2995951417004,49.28149731436897,0.3669519425011798,127.0,39.0,297.0,0.7479757085020243,0.06578947368421052,0.1862348178137652,6.522446315789473
16.0,983.0,141.646998982706,52.724184411331784,0.3722223893904663,136.0,39.0,305.0,0.7273652085452695,0.03967446592065107,0.23296032553407936,6.698196215666328
17.0,971.0,139.80638516992792,52.294483362161714,0.37404932041265704,128.0,39.0,288.0,0.713697219361483,0.044284243048403706,0.2420185375901133,6.654168733264676
18.0,979.0,143.15526046986722,51.76755504192755,0.3616182519036673,137.0,39.0,305.0,0.6996935648621042,0.0449438202247191,0.2553626149131767,6.734273830439224
19.0,974.0,155.75975359342917,52.99783569376093,0.34025372068896675,147.0,49.0,359.0,0.6930184804928131,0.012320328542094456,0.2946611909650924,7.035773305954826
20.0,978.0,156.96728016359918,56.290907590339586,0.35861555052537303,147.0,39.0,351.0,0.6554192229038854,0.03987730061349693,0.3047034764826176,7.064657341513293
21.0,956.0,152.22489539748955,62.427060244531674,0.41009757360333327,147.0,39.0,394.0,0.6213389121338913,0.07322175732217573,0.3054393305439331,6.95121949790795
22.0,960.0,147.53645833333334,59.16540435006338,0.4010222626897366,135.0,39.0,381.0,0.6979166666666666,0.046875,0.2552083333333333,6.839072083333334
23.0,972.0,149.43106995884773,52.855538130922625,0.3537118361360771,143.0,39.0,387.0,0.7232510288065843,0.03189300411522634,0.2448559670781893,6.884391193415638
